"OCEAN","REGION","MAJOR_GROUP","ORDER","FAMILY","SPECIES"
"Atlantic","Atlantic, Southwest","CRUSTACEA","EUPHAUSIACEA","EUPHAUSIIDAE","KRI"
"Southern","Atlantic, Antarctic","CRUSTACEA","EUPHAUSIACEA","EUPHAUSIIDAE","KRI"
"Southern","Indian Ocean, Antarctic","CRUSTACEA","EUPHAUSIACEA","EUPHAUSIIDAE","KRI"
"Southern","Pacific, Antarctic","CRUSTACEA","EUPHAUSIACEA","EUPHAUSIIDAE","KRI"
"Atlantic","Atlantic, Northeast","CRUSTACEA","CRUSTACEA MISCELLANEA","","CRU"
"Atlantic","Atlantic, Eastern Central","CRUSTACEA","CRUSTACEA MISCELLANEA","","CRU"
"Atlantic","Mediterranean and Black Sea","MAMMALIA","ODONTOCETI","PHOCOENIDAE","PHR"
"Atlantic","Atlantic, Northeast","MAMMALIA","ODONTOCETI","MONODONTIDAE","BEL"
"Atlantic","Atlantic, Southeast","MOLLUSCA","CEPHALOPODA","SEPIIDAE","CTL"
"Indian","Indian Ocean, Western","MOLLUSCA","CEPHALOPODA","SEPIIDAE","CTL"
"Pacific","Pacific, Western Central","MOLLUSCA","CEPHALOPODA","SEPIIDAE","CTL"
"Pacific","Pacific, Southeast","MOLLUSCA","CEPHALOPODA","SEPIIDAE","CTL"
"Atlantic","Atlantic, Northwest","MOLLUSCA","CEPHALOPODA","LOLIGINIDAE","SQL"
"Pacific","Pacific, Northwest","MAMMALIA","PINNIPEDIA","PHOCIDAE","SST"
"Indian","Indian Ocean, Western","PISCES","PISCES MISCELLANEA","","SKX"
"Indian","Indian Ocean, Eastern","PISCES","PISCES MISCELLANEA","","SKX"
"Atlantic","Atlantic, Eastern Central","PISCES","PISCES MISCELLANEA","","MZZ"
"Indian","Indian Ocean, Western","PISCES","PISCES MISCELLANEA","","MZZ"
"Indian","Indian Ocean, Eastern","PISCES","PISCES MISCELLANEA","","MZZ"
"Pacific","Pacific, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","SKJ"
"Pacific","Pacific, Southeast","PISCES","SCOMBROIDEI","SCOMBRIDAE","SKJ"
"Pacific","Pacific, Northwest","MAMMALIA","ODONTOCETI","MONODONTIDAE","BEL"
"Southern","Antarctic areas nei","MAMMALIA","ODONTOCETI","","ODN"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","MLS"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","WHM"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","WHM"
"Atlantic","Atlantic, Southwest","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","WHM"
"Atlantic","Atlantic, Southeast","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","WHM"
"","Africa - Inland waters","AMPHIBIA, REPTILIA","CROCODILIA","CROCODYLIDAE","CRI"
"Indian","Indian Ocean, Western","MOLLUSCA","BIVALVIA","PTERIIDAE","OSH"
"Indian","Indian Ocean, Western","PLANTAE AQUATICAE","PLANTAE AQUATICAE MISCELLANEA","","APL"
"Atlantic","Atlantic, Northeast","PISCES","SCOMBROIDEI","SCOMBRIDAE","BFT"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","BFT"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","BFT"
"Atlantic","Mediterranean and Black Sea","PISCES","SCOMBROIDEI","SCOMBRIDAE","BFT"
"Atlantic","Atlantic, Eastern Central","CRUSTACEA","REPTANTIA","PALINURIDAE","CRW"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","PBF"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","ALB"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","ALB"
"Atlantic","Atlantic, Southwest","PISCES","SCOMBROIDEI","SCOMBRIDAE","ALB"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","SCOMBRIDAE","ALB"
"Pacific","Pacific, Southwest","PISCES","OTHER PERCIFORMES","SPHYRAENIDAE","BAR"
"Atlantic","Atlantic, Eastern Central","PISCES","PISCES MISCELLANEA","","PPX"
"Atlantic","Atlantic, Western Central","PISCES","PISCES MISCELLANEA","","MZZ"
"Atlantic","Atlantic, Western Central","CRUSTACEA","REPTANTIA","PALINURIDAE","SLC"
"Atlantic","Atlantic, Western Central","MOLLUSCA","GASTROPODA","STROMBIDAE","CON"
"Atlantic","Atlantic, Eastern Central","PISCES","PLEURONECTIFORMES","","FLX"
"Atlantic","Atlantic, Eastern Central","PISCES","GADIFORMES","MERLUCCIIDAE","HKB"
"Atlantic","Atlantic, Southeast","PISCES","GADIFORMES","MERLUCCIIDAE","HKC"
"Indian","Indian Ocean, Western","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","SSP"
"Atlantic","Atlantic, Eastern Central","CRUSTACEA","NATANTIA","PENAEIDAE","PEN"
"Atlantic","Atlantic, Eastern Central","CRUSTACEA","NATANTIA","","DCP"
"Atlantic","Atlantic, Eastern Central","MOLLUSCA","CEPHALOPODA","SEPIIDAE","CTL"
"Atlantic","Atlantic, Eastern Central","MOLLUSCA","CEPHALOPODA","OMMASTREPHIDAE","SQU"
"Atlantic","Mediterranean and Black Sea","PISCES","PISCES MISCELLANEA","","PPX"
"Atlantic","Atlantic, Southeast","PISCES","PISCES MISCELLANEA","","PPX"
"Indian","Indian Ocean, Western","PISCES","PISCES MISCELLANEA","","PPX"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","SPF"
"Indian","Indian Ocean, Western","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BIL"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BIL"
"Atlantic","Atlantic, Eastern Central","PISCES","PERCOIDEI","SCIAENIDAE","CDX"
"Pacific","Pacific, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","PBF"
"Indian","Indian Ocean, Western","PISCES","SCOMBROIDEI","SCOMBRIDAE","LOT"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","BLF"
"Atlantic","Mediterranean and Black Sea","CRUSTACEA","CRUSTACEA MISCELLANEA","","CRU"
"Atlantic","Atlantic, Southwest","CRUSTACEA","CRUSTACEA MISCELLANEA","","CRU"
"Atlantic","Atlantic, Southeast","CRUSTACEA","CRUSTACEA MISCELLANEA","","CRU"
"Indian","Indian Ocean, Eastern","CRUSTACEA","CRUSTACEA MISCELLANEA","","CRU"
"Pacific","Pacific, Northwest","MAMMALIA","PINNIPEDIA","OTARIIDAE","SSL"
"Atlantic","Atlantic, Southeast","PISCES","PERCOIDEI","SPARIDAE","DEX"
"Atlantic","Atlantic, Eastern Central","PISCES","PERCOIDEI","SPARIDAE","SBX"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","TRICHIURIDAE","LHT"
"Atlantic","Atlantic, Eastern Central","PISCES","CLUPEIFORMES","CLUPEIDAE","SIX"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","XIPHIIDAE","SWO"
"Atlantic","Atlantic, Eastern Central","MOLLUSCA","CEPHALOPODA","OCTOPODIDAE","OCT"
"","Marine areas outside the Antarctic","MAMMALIA","ODONTOCETI","DELPHINIDAE","SHW"
"Pacific","Pacific, Eastern Central","MAMMALIA","ODONTOCETI","DELPHINIDAE","DCO"
"Pacific","Pacific, Eastern Central","MAMMALIA","ODONTOCETI","DELPHINIDAE","DRR"
"Pacific","Pacific, Eastern Central","MAMMALIA","ODONTOCETI","DELPHINIDAE","RTD"
"Pacific","Pacific, Eastern Central","MAMMALIA","ODONTOCETI","DELPHINIDAE","DBO"
"Pacific","Pacific, Northwest","MAMMALIA","PINNIPEDIA","OTARIIDAE","SEN"
"Pacific","Pacific, Northwest","MAMMALIA","PINNIPEDIA","ODOBENIDAE","WAL"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","XIPHIIDAE","SWO"
"Atlantic","Mediterranean and Black Sea","PISCES","SCOMBROIDEI","XIPHIIDAE","SWO"
"Atlantic","Atlantic, Southeast","PISCES","SCOMBROIDEI","XIPHIIDAE","SWO"
"Indian","Indian Ocean, Western","PISCES","SCOMBROIDEI","XIPHIIDAE","SWO"
"Atlantic","Mediterranean and Black Sea","PISCES","SCOMBROIDEI","SCOMBRIDAE","ALB"
"Atlantic","Atlantic, Southeast","PISCES","SCOMBROIDEI","SCOMBRIDAE","ALB"
"Indian","Indian Ocean, Western","PISCES","SCOMBROIDEI","SCOMBRIDAE","ALB"
"","Marine areas outside the Antarctic","MAMMALIA","ODONTOCETI","DELPHINIDAE","DPN"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","ALB"
"Atlantic","Atlantic, Southeast","PISCES","SCOMBROIDEI","SCOMBRIDAE","SBF"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","YFT"
"Atlantic","Atlantic, Northwest","PISCES","SQUALIFORMES","SQUALIDAE","DGX"
"Atlantic","Atlantic, Eastern Central","PISCES","CLUPEIFORMES","CLUPEIDAE","PIL"
"Atlantic","Atlantic, Eastern Central","PISCES","CLUPEIFORMES","ENGRAULIDAE","ANE"
"Atlantic","Mediterranean and Black Sea","PISCES","SCOMBROIDEI","SCOMBRIDAE","BON"
"Pacific","Pacific, Southeast","PISCES","SCOMBROIDEI","SCOMBRIDAE","BEP"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","WAH"
"Pacific","Pacific, Eastern Central","MAMMALIA","ODONTOCETI","DELPHINIDAE","DSI"
"Pacific","Pacific, Eastern Central","MAMMALIA","ODONTOCETI","DELPHINIDAE","DST"
"Pacific","Pacific, Eastern Central","MAMMALIA","ODONTOCETI","DELPHINIDAE","DLP"
"Pacific","Pacific, Eastern Central","MAMMALIA","ODONTOCETI","KOGIIDAE","PYW"
"","Marine areas outside the Antarctic","MAMMALIA","ODONTOCETI","","ODN"
"Atlantic","Atlantic, Northwest","PISCES","RAJIFORMES","RAJIDAE","RAJ"
"Atlantic","Atlantic, Northeast","PISCES","RAJIFORMES","RAJIDAE","RAJ"
"Atlantic","Atlantic, Eastern Central","PISCES","RAJIFORMES","","SRX"
"Atlantic","Mediterranean and Black Sea","PISCES","RAJIFORMES","","SRX"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","XIPHIIDAE","SWO"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","","TUX"
"Atlantic","Mediterranean and Black Sea","PISCES","SCOMBROIDEI","","TUX"
"Indian","Indian Ocean, Western","PISCES","SCOMBROIDEI","","TUX"
"Pacific","Pacific, Southeast","PISCES","SCOMBROIDEI","SCOMBRIDAE","ALB"
"Indian","Indian Ocean, Western","PISCES","SCOMBROIDEI","SCOMBRIDAE","SBF"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","SCOMBRIDAE","SBF"
"Indian","Indian Ocean, Western","PISCES","MUGILIFORMES","MUGILIDAE","MUL"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","SERRANIDAE","BSX"
"Pacific","Pacific, Northwest","CRUSTACEA","CRUSTACEA MISCELLANEA","","CRU"
"Pacific","Pacific, Northeast","CRUSTACEA","CRUSTACEA MISCELLANEA","","CRU"
"Atlantic","Mediterranean and Black Sea","MOLLUSCA","BIVALVIA","MYTILIDAE","MSM"
"Pacific","Pacific, Northwest","MOLLUSCA","BIVALVIA","MYTILIDAE","MSX"
"Atlantic","Atlantic, Northeast","MAMMALIA","PINNIPEDIA","PHOCIDAE","SEH"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","WAH"
"Indian","Indian Ocean, Western","PISCES","SCOMBROIDEI","SCOMBRIDAE","WAH"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","SCOMBRIDAE","WAH"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","","TUX"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","LUTJANIDAE","SNX"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","LETHRINIDAE","EMP"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","MULLIDAE","MUM"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","SCARIDAE","PWT"
"Indian","Indian Ocean, Western","PISCES","ACANTHUROIDEI","SIGANIDAE","SPI"
"Indian","Indian Ocean, Western","PISCES","CLUPEIFORMES","CLUPEIDAE","SIX"
"Indian","Indian Ocean, Western","PISCES","CLUPEIFORMES","ENGRAULIDAE","ANX"
"Indian","Indian Ocean, Western","PISCES","CLUPEIFORMES","","CLU"
"Indian","Indian Ocean, Western","PISCES","SCOMBROIDEI","SCOMBRIDAE","KGX"
"Atlantic","Atlantic, Northeast","MAMMALIA","PINNIPEDIA","PHOCIDAE","SER"
"Pacific","Pacific, Northwest","MAMMALIA","PINNIPEDIA","PHOCIDAE","SER"
"Pacific","Pacific, Northwest","MAMMALIA","PINNIPEDIA","PHOCIDAE","SLR"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","YFT"
"Pacific","Pacific, Eastern Central","PISCES","SCOMBROIDEI","","TUX"
"Pacific","Pacific, Southeast","PISCES","SCOMBROIDEI","","TUX"
"Pacific","Pacific, Southeast","PISCES","PERCOIDEI","CARANGIDAE","CJM"
"Atlantic","Atlantic, Southeast","PISCES","PERCOIDEI","CARANGIDAE","HMC"
"Indian","Indian Ocean, Western","PISCES","SCOMBROIDEI","SCOMBRIDAE","COM"
"Indian","Indian Ocean, Western","PISCES","SCOMBROIDEI","SCOMBRIDAE","YFT"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","SCOMBRIDAE","YFT"
"Pacific","Pacific, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","YFT"
"Atlantic","Atlantic, Southeast","PISCES","STROMATEOIDEI, ANABANTOIDEI","STROMATEIDAE","BLB"
"Indian","Indian Ocean, Western","PISCES","STROMATEOIDEI, ANABANTOIDEI","STROMATEIDAE","SIP"
"Atlantic","Atlantic, Southwest","PISCES","SCOMBROIDEI","SCOMBRIDAE","YFT"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","YFT"
"Indian","Indian Ocean, Western","PISCES","SCOMBROIDEI","SCOMBRIDAE","GUT"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","FRI"
"Indian","Indian Ocean, Western","PISCES","SCOMBROIDEI","SCOMBRIDAE","FRZ"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","LTA"
"Atlantic","Atlantic, Northwest","PISCES","STROMATEOIDEI, ANABANTOIDEI","STROMATEIDAE","BUT"
"Indian","Indian Ocean, Western","PISCES","STROMATEOIDEI, ANABANTOIDEI","STROMATEIDAE","BUX"
"Indian","Indian Ocean, Eastern","PISCES","STROMATEOIDEI, ANABANTOIDEI","STROMATEIDAE","BUX"
"Pacific","Pacific, Western Central","PISCES","STROMATEOIDEI, ANABANTOIDEI","STROMATEIDAE","BUX"
"Atlantic","Mediterranean and Black Sea","CRUSTACEA","NATANTIA","CRANGONIDAE","CSH"
"Atlantic","Atlantic, Southwest","PISCES","RAJIFORMES","","SRX"
"Atlantic","Atlantic, Southeast","PISCES","RAJIFORMES","","SRX"
"Indian","Indian Ocean, Western","PISCES","RAJIFORMES","","SRX"
"Pacific","Pacific, Western Central","PISCES","RAJIFORMES","","SRX"
"Atlantic","Atlantic, Eastern Central","PISCES","PERCOIDEI","CARANGIDAE","JAX"
"Atlantic","Atlantic, Western Central","PISCES","PERCOIDEI","CORYPHAENIDAE","DOL"
"Pacific","Pacific, Southeast","PISCES","SCOMBROIDEI","SCOMBRIDAE","MAS"
"Atlantic","Atlantic, Western Central","CRUSTACEA","NATANTIA","","DCP"
"Indian","Indian Ocean, Western","CRUSTACEA","NATANTIA","","DCP"
"Pacific","Pacific, Western Central","CRUSTACEA","NATANTIA","","DCP"
"Atlantic","Mediterranean and Black Sea","MAMMALIA","ODONTOCETI","DELPHINIDAE","DCO"
"Pacific","Pacific, Northwest","MOLLUSCA","BIVALVIA","PECTINIDAE","JSC"
"Atlantic","Atlantic, Northeast","MOLLUSCA","BIVALVIA","PECTINIDAE","SCX"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","LTA"
"Atlantic","Mediterranean and Black Sea","PISCES","SCOMBROIDEI","SCOMBRIDAE","LTA"
"Pacific","Pacific, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","BKJ"
"Pacific","Pacific, Southeast","PISCES","SCOMBROIDEI","SCOMBRIDAE","BKJ"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","VMA"
"Southern","Antarctic areas nei","MAMMALIA","ODONTOCETI","DELPHINIDAE","KIW"
"Atlantic","Mediterranean and Black Sea","MAMMALIA","ODONTOCETI","DELPHINIDAE","DBO"
"","Former USSR area - Inland waters","MAMMALIA","PINNIPEDIA","PHOCIDAE","SAC"
"","Former USSR area - Inland waters","MAMMALIA","PINNIPEDIA","PHOCIDAE","SBK"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","POMATOMIDAE","BLU"
"Indian","Indian Ocean, Western","PISCES","CARCHARHINIFORMES","CARCHARHINIDAE","BSH"
"Indian","Indian Ocean, Eastern","PISCES","CARCHARHINIFORMES","CARCHARHINIDAE","BSH"
"Atlantic","Atlantic, Western Central","PISCES","PISCES MISCELLANEA","","SKX"
"Indian","Indian Ocean, Western","PISCES","SCOMBROIDEI","SCOMBRIDAE","KAW"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","SKJ"
"Atlantic","Atlantic, Eastern Central","PISCES","PERCOIDEI","RACHYCENTRIDAE","CBA"
"Atlantic","Atlantic, Northeast","PISCES","PERCOIDEI","CARANGIDAE","HOM"
"Atlantic","Atlantic, Southwest","PISCES","PERCOIDEI","CARANGIDAE","JAA"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","CARANGIDAE","JJM"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","SKJ"
"Indian","Indian Ocean, Western","PISCES","SCOMBROIDEI","SCOMBRIDAE","SKJ"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","SCOMBRIDAE","SKJ"
"Atlantic","Atlantic, Eastern Central","PISCES","OTHER PERCIFORMES","SPHYRAENIDAE","BAR"
"Atlantic","Atlantic, Southeast","PISCES","OTHER PERCIFORMES","SPHYRAENIDAE","BAR"
"Indian","Indian Ocean, Western","PISCES","OTHER PERCIFORMES","SPHYRAENIDAE","BAR"
"Atlantic","Atlantic, Northeast","PISCES","PISCES MISCELLANEA","","SKX"
"Atlantic","Atlantic, Eastern Central","PISCES","PISCES MISCELLANEA","","SKX"
"Atlantic","Mediterranean and Black Sea","PISCES","PISCES MISCELLANEA","","SKX"
"Atlantic","Atlantic, Southeast","PISCES","PISCES MISCELLANEA","","SKX"
"Atlantic","Atlantic, Northeast","MAMMALIA","PINNIPEDIA","PHOCIDAE","SEB"
"Pacific","Pacific, Northwest","MAMMALIA","PINNIPEDIA","PHOCIDAE","SEB"
"Atlantic","Atlantic, Northeast","MAMMALIA","PINNIPEDIA","PHOCIDAE","SEZ"
"Pacific","Pacific, Western Central","PISCES","PISCES MISCELLANEA","","MZZ"
"Pacific","Pacific, Western Central","CRUSTACEA","BRACHYURA","","CRA"
"Atlantic","Mediterranean and Black Sea","PISCES","SCOMBROIDEI","SCOMBRIDAE","FRZ"
"Indian","Indian Ocean, Western","PISCES","CLUPEIFORMES","CLUPEIDAE","IOS"
"Atlantic","Mediterranean and Black Sea","CRUSTACEA","REPTANTIA","NEPHROPIDAE","NEP"
"Atlantic","Mediterranean and Black Sea","CRUSTACEA","REPTANTIA","NEPHROPIDAE","LBE"
"Atlantic","Mediterranean and Black Sea","MOLLUSCA","CEPHALOPODA","SEPIIDAE","CTL"
"Atlantic","Atlantic, Western Central","AMPHIBIA, REPTILIA","TESTUDINES","","TTX"
"","America, South - Inland waters","AMPHIBIA, REPTILIA","CROCODILIA","CROCODYLIDAE","CAI"
"","Asia - Inland waters","PISCES","PISCES MISCELLANEA","","FRF"
"Atlantic","Mediterranean and Black Sea","PISCES","PERCOIDEI","MORONIDAE","BSS"
"Atlantic","Mediterranean and Black Sea","PISCES","PERCOIDEI","SPARIDAE","DEC"
"Atlantic","Mediterranean and Black Sea","PISCES","PERCOIDEI","SPARIDAE","BRB"
"Atlantic","Mediterranean and Black Sea","PISCES","PERCOIDEI","SPARIDAE","SBS"
"Atlantic","Atlantic, Eastern Central","PISCES","LAMNIFORMES","LAMNIDAE","SMA"
"Pacific","Pacific, Western Central","PISCES","LAMNIFORMES","LAMNIDAE","SMA"
"Atlantic","Mediterranean and Black Sea","MOLLUSCA","CEPHALOPODA","LOLIGINIDAE","SQC"
"Pacific","Pacific, Western Central","MOLLUSCA","MOLLUSCA MISCELLANEA","","MOL"
"Pacific","Pacific, Western Central","INVERTEBRATA AQUATICA","HOLOTHUROIDEA","","CUX"
"Atlantic","Mediterranean and Black Sea","PISCES","PERCOIDEI","SPARIDAE","SBG"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BUM"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BLM"
"Atlantic","Atlantic, Southwest","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BLM"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BLM"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","MLS"
"Pacific","Pacific, Western Central","PISCES","CARCHARHINIFORMES","CARCHARHINIDAE","FAL"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","BET"
"Pacific","Pacific, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","BET"
"Pacific","Pacific, Southeast","PISCES","SCOMBROIDEI","SCOMBRIDAE","BET"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","SAI"
"Pacific","Pacific, Western Central","MOLLUSCA","GASTROPODA","TROCHIDAE","TSH"
"","America, South - Inland waters","PISCES","CYPRINIFORMES","CYPRINIDAE","FCP"
"Atlantic","Atlantic, Southwest","PISCES","SCOMBROIDEI","XIPHIIDAE","SWO"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","KGM"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BUM"
"Pacific","Pacific, Western Central","CRUSTACEA","REPTANTIA","PALINURIDAE","SLV"
"Pacific","Pacific, Western Central","MOLLUSCA","CEPHALOPODA","OCTOPODIDAE","OCT"
"Pacific","Pacific, Western Central","AMPHIBIA, REPTILIA","TESTUDINES","","TTX"
"Pacific","Pacific, Western Central","INVERTEBRATA AQUATICA","ANTHOZOA","","CSS"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","CER"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","BRS"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","BET"
"Atlantic","Mediterranean and Black Sea","PISCES","BELONIFORMES","BELONIDAE","GAR"
"Atlantic","Mediterranean and Black Sea","PISCES","ATHERINIFORMES","ATHERINIDAE","SIL"
"Atlantic","Mediterranean and Black Sea","PISCES","PERCOIDEI","SPARIDAE","BOG"
"Atlantic","Mediterranean and Black Sea","PISCES","PERCOIDEI","SPARIDAE","SLM"
"Atlantic","Mediterranean and Black Sea","PISCES","PERCOIDEI","CARANGIDAE","HMM"
"Atlantic","Atlantic, Southwest","PISCES","PISCES MISCELLANEA","","SKX"
"Pacific","Pacific, Western Central","PISCES","PISCES MISCELLANEA","","SKX"
"Pacific","Pacific, Southeast","PISCES","PISCES MISCELLANEA","","SKX"
"Atlantic","Mediterranean and Black Sea","PISCES","PERCOIDEI","CENTRACANTHIDAE","PIC"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","XIPHIIDAE","SWO"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","SPF"
"Pacific","Pacific, Southeast","PISCES","SCOMBROIDEI","XIPHIIDAE","SWO"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","FRZ"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","","TUX"
"Atlantic","Atlantic, Eastern Central","MOLLUSCA","MOLLUSCA MISCELLANEA","","MOL"
"Indian","Indian Ocean, Western","PISCES","PLEURONECTIFORMES","PSETTODIDAE","HAI"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","","TUX"
"Indian","Indian Ocean, Western","PISCES","AULOPIFORMES","SYNODONTIDAE","LIX"
"Indian","Indian Ocean, Western","PISCES","SILURIFORMES","ARIIDAE","CAX"
"Atlantic","Mediterranean and Black Sea","PISCES","PERCOIDEI","CARANGIDAE","AMB"
"Atlantic","Mediterranean and Black Sea","PISCES","SCOMBROIDEI","SCOMBRIDAE","MAZ"
"Atlantic","Mediterranean and Black Sea","PISCES","SQUALIFORMES","SQUALIDAE","DGX"
"Pacific","Pacific, Western Central","CRUSTACEA","REPTANTIA","","LOX"
"Atlantic","Mediterranean and Black Sea","PISCES","PERCOIDEI","MULLIDAE","MUR"
"Atlantic","Mediterranean and Black Sea","PISCES","ANGUILLIFORMES","CONGRIDAE","COE"
"Atlantic","Mediterranean and Black Sea","PISCES","SCORPAENIFORMES","SCORPAENIDAE","SCO"
"Atlantic","Atlantic, Southwest","PISCES","SCOMBROIDEI","","TUX"
"Atlantic","Atlantic, Western Central","PISCES","PERCOIDEI","POMATOMIDAE","BLU"
"Atlantic","Atlantic, Western Central","PISCES","PERCOIDEI","RACHYCENTRIDAE","CBA"
"Atlantic","Atlantic, Western Central","PISCES","PERCOIDEI","CARANGIDAE","RSC"
"Atlantic","Atlantic, Western Central","PISCES","PERCOIDEI","SCIAENIDAE","CDX"
"Atlantic","Atlantic, Western Central","PISCES","PERCOIDEI","SPARIDAE","SBX"
"Atlantic","Atlantic, Western Central","PISCES","PERCOIDEI","GERREIDAE","GDJ"
"Atlantic","Atlantic, Western Central","PISCES","PERCOIDEI","LOBOTIDAE","LOB"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","GEMPYLIDAE","LEC"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","TRICHIURIDAE","LHT"
"Atlantic","Atlantic, Western Central","PISCES","PISCES MISCELLANEA","","DPX"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","SKJ"
"Atlantic","Atlantic, Western Central","PISCES","PERCOIDEI","CARANGIDAE","CVJ"
"Atlantic","Atlantic, Western Central","PISCES","PERCOIDEI","CARANGIDAE","CXR"
"Atlantic","Atlantic, Western Central","PISCES","PERCOIDEI","CARANGIDAE","NBR"
"Atlantic","Atlantic, Western Central","PISCES","PERCOIDEI","CARANGIDAE","TRE"
