"OCEAN","REGION","MAJOR_GROUP","ORDER","FAMILY","SPECIES"
"Pacific","Pacific, Northwest","PISCES","CLUPEIFORMES","CLUPEIDAE","SIX"
"Pacific","Pacific, Northwest","CRUSTACEA","REPTANTIA","PALINURIDAE","SLV"
"Pacific","Pacific, Northwest","CRUSTACEA","NATANTIA","","DCP"
"Pacific","Pacific, Northwest","MOLLUSCA","CEPHALOPODA","SEPIIDAE","CTL"
"Pacific","Pacific, Northwest","PISCES","MUGILIFORMES","MUGILIDAE","MUF"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","SERRANIDAE","GPX"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","LATEOLABRACIDAE","BAJ"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","PRIACANTHIDAE","BIR"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","MULLIDAE","GOX"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","SCARIDAE","PWT"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","POLYNEMIDAE","FOT"
"Pacific","Pacific, Northwest","PISCES","SCOMBROIDEI","SCOMBRIDAE","WAH"
"Pacific","Pacific, Northwest","PISCES","SCOMBROIDEI","SCOMBRIDAE","COM"
"Pacific","Pacific, Northwest","PISCES","SCOMBROIDEI","SCOMBRIDAE","GUT"
"Pacific","Pacific, Northwest","PISCES","SCOMBROIDEI","SCOMBRIDAE","NPH"
"Pacific","Pacific, Northwest","PISCES","SCOMBROIDEI","SCOMBRIDAE","BET"
"Pacific","Pacific, Northwest","PISCES","SCOMBROIDEI","SCOMBRIDAE","LOT"
"Pacific","Pacific, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","LOT"
"Atlantic","Atlantic, Southeast","PISCES","CARCHARHINIFORMES","CARCHARHINIDAE","BSH"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","SERRANIDAE","BSX"
"Pacific","Pacific, Southeast","PISCES","CARCHARHINIFORMES","CARCHARHINIDAE","OCS"
"Pacific","Pacific, Southeast","MOLLUSCA","BIVALVIA","MYTILIDAE","MSC"
"Pacific","Pacific, Southeast","MOLLUSCA","BIVALVIA","PECTINIDAE","SCQ"
"Pacific","Pacific, Southeast","MOLLUSCA","BIVALVIA","PECTINIDAE","SCX"
"Pacific","Pacific, Southeast","MOLLUSCA","BIVALVIA","VENERIDAE","TWG"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","PRIACANTHIDAE","BIG"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","LUTJANIDAE","SNX"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","NEMIPTERIDAE","THB"
"Pacific","Pacific, Northwest","PISCES","CLUPEIFORMES","CLUPEIDAE","RAL"
"Pacific","Pacific, Northwest","PISCES","CLUPEIFORMES","ENGRAULIDAE","STO"
"Pacific","Pacific, Northwest","PISCES","SCOMBROIDEI","XIPHIIDAE","SWO"
"Pacific","Pacific, Northwest","CRUSTACEA","BRACHYURA","PORTUNIDAE","GAZ"
"Atlantic","Atlantic, Eastern Central","PISCES","PERCOIDEI","GERREIDAE","MFF"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","SILLAGINIDAE","WHS"
