"GLOBAL","YEAR","SPECIES","QUANTITY"
"GLOBAL",1950-01-01,"CAT",8500
"GLOBAL",1950-01-01,"CAX",40358
"GLOBAL",1950-01-01,"CBA",25
"GLOBAL",1950-01-01,"CBC",0
"GLOBAL",1950-01-01,"CBM",0
"GLOBAL",1950-01-01,"CBR",0
"GLOBAL",1950-01-01,"CCB",0
"GLOBAL",1950-01-01,"CCE",0
"GLOBAL",1950-01-01,"CCL",0
"GLOBAL",1950-01-01,"CCN",0
"GLOBAL",1950-01-01,"CCO",0
"GLOBAL",1950-01-01,"CCP",0
"GLOBAL",1950-01-01,"CCT",0
"GLOBAL",1950-01-01,"CDA",0
"GLOBAL",1950-01-01,"CDL",0
"GLOBAL",1950-01-01,"CDP",0
"GLOBAL",1950-01-01,"CDX",77000
"GLOBAL",1950-01-01,"CEC",0
"GLOBAL",1950-01-01,"CEN",0
"GLOBAL",1950-01-01,"CEO",0
"GLOBAL",1950-01-01,"CEP",3000
"GLOBAL",1950-01-01,"CER",100
"GLOBAL",1950-01-01,"CES",0
"GLOBAL",1950-01-01,"CET",1200
"GLOBAL",1950-01-01,"CEX",100
"GLOBAL",1950-01-01,"CFJ",0
"GLOBAL",1950-01-01,"CGE",0
"GLOBAL",1950-01-01,"CGO",0
"GLOBAL",1950-01-01,"CGX",10700
"GLOBAL",1950-01-01,"CHA",44900
"GLOBAL",1950-01-01,"CHB",600
"GLOBAL",1950-01-01,"CHE",0
"GLOBAL",1950-01-01,"CHG",0
"GLOBAL",1950-01-01,"CHI",23200
"GLOBAL",1950-01-01,"CHJ",500
"GLOBAL",1950-01-01,"CHM",0
"GLOBAL",1950-01-01,"CHU",139300
"GLOBAL",1950-01-01,"CIM",5000
"GLOBAL",1950-01-01,"CIS",9222
"GLOBAL",1950-01-01,"CIX",9200
"GLOBAL",1950-01-01,"CJM",1000
"GLOBAL",1950-01-01,"CJX",500
"GLOBAL",1950-01-01,"CKA",5222
"GLOBAL",1950-01-01,"CKI",14300
"GLOBAL",1950-01-01,"CKM",25100
"GLOBAL",1950-01-01,"CKQ",0
"GLOBAL",1950-01-01,"CKW",4700
"GLOBAL",1950-01-01,"CKY",3000
"GLOBAL",1950-01-01,"CLA",108300
"GLOBAL",1950-01-01,"CLB",24935
"GLOBAL",1950-01-01,"CLH",67913
"GLOBAL",1950-01-01,"CLI",5361
"GLOBAL",1950-01-01,"CLJ",50000
"GLOBAL",1950-01-01,"CLM",400
"GLOBAL",1950-01-01,"CLQ",800
"GLOBAL",1950-01-01,"CLR",98
"GLOBAL",1950-01-01,"CLS",27110
"GLOBAL",1950-01-01,"CLT",400
"GLOBAL",1950-01-01,"CLU",59300
"GLOBAL",1950-01-01,"CLV",0
"GLOBAL",1950-01-01,"CLX",15036
"GLOBAL",1950-01-01,"CLZ",15000
"GLOBAL",1950-01-01,"CMH",0
"GLOBAL",1950-01-01,"CMO",0
"GLOBAL",1950-01-01,"CMR",100
"GLOBAL",1950-01-01,"COA",41
"GLOBAL",1950-01-01,"COB",0
"GLOBAL",1950-01-01,"COC",13800
"GLOBAL",1950-01-01,"COD",2079877
"GLOBAL",1950-01-01,"COE",12700
"GLOBAL",1950-01-01,"COH",30500
"GLOBAL",1950-01-01,"COJ",0
"GLOBAL",1950-01-01,"COM",11222
"GLOBAL",1950-01-01,"CON",643
"GLOBAL",1950-01-01,"COS",0
"GLOBAL",1950-01-01,"COW",2000
"GLOBAL",1950-01-01,"COX",0
"GLOBAL",1950-01-01,"COZ",0
"GLOBAL",1950-01-01,"CPG",0
"GLOBAL",1950-01-01,"CPI",339105
"GLOBAL",1950-01-01,"CPL",0
"GLOBAL",1950-01-01,"CPR",200
"GLOBAL",1950-01-01,"CRA",4800
"GLOBAL",1950-01-01,"CRB",57187
"GLOBAL",1950-01-01,"CRE",11300
"GLOBAL",1950-01-01,"CRG",2900
"GLOBAL",1950-01-01,"CRI",0
"GLOBAL",1950-01-01,"CRK",1685
"GLOBAL",1950-01-01,"CRL",2000
"GLOBAL",1950-01-01,"CRQ",0
"GLOBAL",1950-01-01,"CRS",200
"GLOBAL",1950-01-01,"CRU",70300
"GLOBAL",1950-01-01,"CRV",2000
"GLOBAL",1950-01-01,"CRW",2000
"GLOBAL",1950-01-01,"CRY",63800
"GLOBAL",1950-01-01,"CSH",48800
"GLOBAL",1950-01-01,"CSP",400
"GLOBAL",1950-01-01,"CSS",0
"GLOBAL",1950-01-01,"CST",2400
"GLOBAL",1950-01-01,"CSY",4000
"GLOBAL",1950-01-01,"CTB",0
"GLOBAL",1950-01-01,"CTC",3700
"GLOBAL",1950-01-01,"CTG",8300
"GLOBAL",1950-01-01,"CTI",0
"GLOBAL",1950-01-01,"CTL",43500
"GLOBAL",1950-01-01,"CTO",3395
"GLOBAL",1950-01-01,"CUC",1900
"GLOBAL",1950-01-01,"CUJ",4300
"GLOBAL",1950-01-01,"CUN",3
"GLOBAL",1950-01-01,"CUQ",0
"GLOBAL",1950-01-01,"CUS",2400
"GLOBAL",1950-01-01,"CUT",56400
"GLOBAL",1950-01-01,"CUX",0
"GLOBAL",1950-01-01,"CVJ",3364
"GLOBAL",1950-01-01,"CVK",1500
"GLOBAL",1950-01-01,"CVW",0
"GLOBAL",1950-01-01,"CWE",0
"GLOBAL",1950-01-01,"CYO",0
"GLOBAL",1950-01-01,"CYP",0
"GLOBAL",1950-01-01,"CYW",0
"GLOBAL",1950-01-01,"DAB",11300
"GLOBAL",1950-01-01,"DAG",11000
"GLOBAL",1950-01-01,"DAS",500
"GLOBAL",1950-01-01,"DBO",212
"GLOBAL",1950-01-01,"DBZ",0
"GLOBAL",1950-01-01,"DCA",0
"GLOBAL",1950-01-01,"DCO",40196
"GLOBAL",1950-01-01,"DCP",115433
"GLOBAL",1950-01-01,"DCX",1000
"GLOBAL",1950-01-01,"DCZ",0
"GLOBAL",1950-01-01,"DDU",0
"GLOBAL",1950-01-01,"DEC",3300
